Key AI Industry KPIs — Verified Headline Figures for Power BI Dashboard,,,
"All figures below are directly sourced from McKinsey State of AI, Stanford AI Index 2025, OpenAI official statements, or peer publications.",,,
KPI / Metric,Value,Year/Period,Source
Orgs using AI in ≥1 function (global),88%,2025,McKinsey State of AI 2025
Orgs using AI in ≥1 function (global),78%,Late 2024,McKinsey Rewiring Report 2024
Orgs using AI in ≥1 function (global),72%,Early 2024,McKinsey State of AI Early 2024
Orgs using AI in ≥1 function (global),55%,2023,McKinsey State of AI 2023
Orgs using AI in ≥1 function (global),50%,2022,McKinsey State of AI 2022
Orgs using GenAI specifically,79%,2025,McKinsey State of AI 2025
Orgs using GenAI specifically,65%,Early 2024,McKinsey State of AI Early 2024
Orgs using GenAI specifically,33%,2023,McKinsey State of AI 2023
Global corporate AI investment,$252.3 Billion,2024,Stanford AI Index 2025
GenAI-specific private investment,$33.9 Billion,2024,Stanford AI Index 2025 (+18.7% YoY)
US private AI investment,$109.1 Billion,2024,Stanford AI Index 2025
China private AI investment,$9.3 Billion,2024,Stanford AI Index 2025
UK private AI investment,$4.5 Billion,2024,Stanford AI Index 2025
ChatGPT weekly active users,800 Million+,Mar-Sep 2025,OpenAI / Sam Altman at TED 2025
ChatGPT weekly active users,100 Million,Jan 2023 (2 months after launch),Reuters 2023
ChatGPT monthly site visits,5.6 Billion+,Jul 2025,SimilarWeb
White-collar workers frequently using AI (daily),27%,2025,Aristek / Mercer 2025
AI job posting growth vs non-AI (South Asia),+75% faster,Jan 2023–Mar 2025,World Bank South Asia AI Report 2025
AI job share in South Asia postings,2.9% → 6.5%,Jan 2023–Mar 2025,World Bank South Asia AI Report 2025
Industry share of notable AI models,90%,2024,Stanford AI Index 2025 (up from 60% in 2023)
US notable AI models produced,40 models,2024,"Stanford AI Index 2025 (China: 15, Europe: 3)"
GenAI inference cost drop (GPT-3.5 equiv.),280x cheaper,Nov 2022 → Oct 2024,Stanford AI Index 2025
AI hardware cost annual decline,30% per year,Ongoing,Stanford AI Index 2025
AI energy efficiency annual improvement,40% per year,Ongoing,Stanford AI Index 2025
AI-enhanced knowledge retention increase,+25%,2024,Research cited in Aristek / Harvard HBP 2025
Teachers using AI for research,44%,2024,Microsoft Education Survey 2024
Customer support productivity gain with AI,+14%,Fortune 500 trial,Pew Research / MIT study 2024
Programmers with GitHub Copilot: task speed,+55.8%,2023,arXiv GitHub Copilot Study 2023
UK SMEs using ChatGPT productivity gain,27%–133%,2024,University of St Andrews Study 2024
SOURCES: Stanford HAI AI Index 2025 | McKinsey State of AI 2025 | OpenAI Official | World Bank South Asia 2025 | Aristek Systems | Microsoft Education 2024 | arXiv,,,
